Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Biceps Face Pull,Biceps,9-15 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the biceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Fly,Quadriceps,4-17 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Leg Raise,Mobility/Stretch,12-17 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the mobility/stretch. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Face Pull,Quadriceps,9-20 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the quadriceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Raise,Quadriceps,14-20 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Heel Raise,Biceps,14-20 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the biceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Medicine Ball Slam,Biceps,12-15 kcal/min,Power,Machine,"This is a power exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Step-Up,Calves,15-18 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the calves. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Flutter Kick,Shoulders,15-12 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the shoulders. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Rotation,Chest,12-19 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Curl,Shoulders,13-18 kcal/min,Strength,None,"This is a strength exercise that primarily targets the shoulders. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Pilates Move,Triceps,12-12 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the triceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Burpees,Biceps,14-14 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the biceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Elliptical,Biceps,7-13 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the biceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Roll,Legs,3-19 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the legs. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Curl,Back,5-13 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the back. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Run,Chest,13-20 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the chest. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Swing,Glutes,3-11 kcal/min,Power,Machine,"This is a power exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Reach,Mobility/Stretch,10-18 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Step-Up,Triceps,11-14 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the triceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Curl,Chest,13-12 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Crunch,Hamstrings,4-13 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the hamstrings. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Flutter Kick,Hamstrings,15-12 kcal/min,Core,Machine,"This is a core exercise that primarily targets the hamstrings. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Run,Legs,11-14 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the legs. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Windshield Wiper,Full Body,6-13 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the full body. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Wall Slide,Full Body,8-12 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Leg Raise,Quadriceps,7-13 kcal/min,Core,Machine,"This is a core exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Medicine Ball Slam,Triceps,3-10 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the triceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Yoga Flow,Chest,11-20 kcal/min,Mobility,Barbell,"This is a mobility exercise that primarily targets the chest. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Glute Bridge,Core,6-11 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the core. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Pose,Mobility/Stretch,6-15 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Pull,Full Body,15-12 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Step-Up,Legs,9-14 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the legs. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Deadlift,Chest,8-16 kcal/min,Strength,None,"This is a strength exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Pose,Mobility/Stretch,8-15 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Rotation,Glutes,14-14 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the glutes. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Push Press,Quadriceps,4-17 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Pilates Move,Glutes,5-15 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the glutes. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Scapular Retraction,Hamstrings,14-13 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Yoga Flow,Back,4-20 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the back. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Deadlift,Mobility/Stretch,7-12 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Leg Raise,Core,10-10 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the core. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Yoga Flow,Quadriceps,7-16 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the quadriceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Wall Slide,Triceps,6-17 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the triceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Row,Hamstrings,14-13 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Step-Up,Shoulders,8-10 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the shoulders. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Bird Dog,Biceps,3-10 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the biceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Windshield Wiper,Chest,6-15 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the chest. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Heel Raise,Mobility/Stretch,3-15 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the mobility/stretch. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Burpees,Hamstrings,10-15 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the hamstrings. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Russian Twist,Shoulders,10-12 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch High Pull,Mobility/Stretch,11-15 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the mobility/stretch. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Rowing,Chest,6-14 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the chest. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Burpees,Back,15-15 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Snatch,Full Body,4-14 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Plank,Biceps,11-16 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the biceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Twist,Mobility/Stretch,3-14 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Bridge,Calves,6-12 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Windshield Wiper,Quadriceps,9-19 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Jump Rope,Calves,10-18 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the calves. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Press,Core,6-19 kcal/min,Strength,None,"This is a strength exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Pilates Move,Shoulders,4-17 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the shoulders. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps High Pull,Triceps,9-16 kcal/min,Power,None,"This is a power exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Rowing,Mobility/Stretch,11-16 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Pose,Hamstrings,15-11 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the hamstrings. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Row,Full Body,15-10 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Jump Squat,Calves,3-12 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Pilates Move,Hamstrings,8-11 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the hamstrings. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Mountain Climber,Quadriceps,10-14 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the quadriceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Deadlift,Shoulders,9-13 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Scapular Retraction,Biceps,6-19 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the biceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Jerk,Full Body,11-14 kcal/min,Power,Machine,"This is a power exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Heel Raise,Calves,8-11 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the calves. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Press,Mobility/Stretch,7-11 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Curl,Glutes,13-13 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the glutes. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Rowing,Biceps,15-18 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Ankle Mobility,Shoulders,9-15 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the shoulders. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Medicine Ball Slam,Legs,9-16 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Deadlift,Quadriceps,15-18 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Squat,Quadriceps,12-13 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Rotation,Calves,4-12 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the calves. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Windshield Wiper,Hamstrings,7-15 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the hamstrings. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Jerk,Quadriceps,8-16 kcal/min,Power,Cable,"This is a power exercise that primarily targets the quadriceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Face Pull,Glutes,5-18 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Raise,Shoulders,13-18 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the shoulders. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders V-Up,Shoulders,13-14 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Scapular Retraction,Calves,12-10 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Yoga Flow,Chest,5-18 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Curl,Chest,6-20 kcal/min,Strength,None,"This is a strength exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Clamshell,Core,6-11 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Broad Jump,Calves,15-17 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the calves. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Bridge,Chest,8-10 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Burpees,Triceps,3-15 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Pose,Hamstrings,9-10 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the hamstrings. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Elliptical,Triceps,6-12 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Broad Jump,Calves,5-14 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the calves. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Calves Pull,Calves,9-11 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the calves. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Pilates Move,Chest,8-19 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Squat,Legs,11-15 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Pull,Glutes,7-16 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the glutes. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Yoga Flow,Quadriceps,7-11 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the quadriceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Scapular Retraction,Quadriceps,14-10 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the quadriceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Fly,Shoulders,3-12 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the shoulders. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Pilates Move,Triceps,12-17 kcal/min,Mobility,Barbell,"This is a mobility exercise that primarily targets the triceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Heel Raise,Biceps,15-13 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the biceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Rowing,Biceps,10-13 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Row,Core,9-10 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the core. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Jump Squat,Calves,3-20 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the calves. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Step-Up,Chest,10-18 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the chest. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Push Press,Full Body,13-12 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the full body. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Band Walk,Triceps,5-20 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the triceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Leg Raise,Biceps,15-20 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the biceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Stretch,Calves,10-11 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Rowing,Legs,10-14 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Snatch,Hamstrings,3-11 kcal/min,Power,None,"This is a power exercise that primarily targets the hamstrings. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Dip,Core,14-19 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the core. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Heel Raise,Full Body,8-16 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the full body. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Flutter Kick,Back,13-14 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the back. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Bridge,Full Body,10-12 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Band Walk,Chest,13-12 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the chest. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Medicine Ball Slam,Chest,6-10 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the chest. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Side Bend,Quadriceps,11-17 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the quadriceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
