Meal Name,Description,Meal Category,Portion Size,Calories (kcal),Carbs (g),Protein (g),Fats (g),Fiber (g),Sodium (mg),Vitamin A (μg),Vitamin C (mg),Calcium (mg),Iron (mg)
Bread Pakora,Bread stuffed with spiced potatoes,Snack,2 pieces (100g),250,30,5,12,3,550,20,5,80,1.5
Pav Bhaji,Spiced vegetable mash with bread,Street Food,2 pavs + 200g bhaji,400,55,8,18,6,900,80,20,180,2.5
Vada Pav,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Pani Puri,Crispy puris with spiced water,Street Food,6 puris (150g total),200,30,4,8,3,600,20,15,100,1.5
Sev Puri,Puris with potatoes and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Dahi Puri,Puris with yogurt and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Ragda Pattice,Potato patties with pea curry,Street Food,2 patties + 150g curry,300,40,8,12,5,700,40,15,120,2
Bhel Puri,Puffed rice with chutneys,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Jhalmuri,Spiced puffed rice,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Pav Vada,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Kathi Roll,Spiced filling in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Chicken Roll,Chicken wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Paneer Roll,Paneer wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Egg Roll,Egg wrapped in paratha,Street Food,1 roll (200g),350,40,12,15,4,700,50,10,120,2
Mutton Roll,Mutton wrapped in paratha,Street Food,1 roll (200g),400,40,20,18,4,700,50,10,150,2
Fish Roll,Fish wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Prawn Roll,Prawn wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Aloo Chaat,Spiced potato cubes,Street Food,1 bowl (150g),200,30,5,8,4,600,40,15,100,1.8
Papdi Chaat,Crispy papdi with chutneys,Street Food,1 plate (150g),250,35,5,10,4,600,30,15,100,1.5
Raj Kachori,Large kachori with fillings,Street Food,1 kachori (150g),300,40,6,12,4,600,30,10,120,1.8
Samosa Chaat,Samosa with chutneys and yogurt,Street Food,1 samosa + toppings (150g),300,35,6,12,4,600,30,10,120,1.8
Tikki Chaat,Potato patties with chutneys,Street Food,2 tikkis + toppings (150g),300,35,6,12,4,600,40,10,120,1.8
Chole Kulche,Chickpea curry with kulcha,Street Food,200g curry + 1 kulcha (100g),400,55,12,12,6,700,50,15,150,2
Misal Pav,Spiced sprouted curry with bread,Street Food,1 bowl (200g) + 2 pavs,350,50,10,12,6,700,40,15,120,2
Pav Bhaji,Spiced vegetable mash with bread,Street Food,2 pavs + 200g bhaji,400,55,8,18,6,900,80,20,180,2.5
Dabeli,Spiced potato filling in bun,Street Food,1 dabeli (150g),300,40,6,12,4,600,30,10,120,1.8
Vada Pav,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Pani Puri,Crispy puris with spiced water,Street Food,6 puris (150g total),200,30,4,8,3,600,20,15,100,1.5
Sev Puri,Puris with potatoes and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Dahi Puri,Puris with yogurt and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Ragda Pattice,Potato patties with pea curry,Street Food,2 patties + 150g curry,300,40,8,12,5,700,40,15,120,2
Bhel Puri,Puffed rice with chutneys,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Jhalmuri,Spiced puffed rice,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Pav Vada,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Kathi Roll,Spiced filling in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Chicken Roll,Chicken wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Paneer Roll,Paneer wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Egg Roll,Egg wrapped in paratha,Street Food,1 roll (200g),350,40,12,15,4,700,50,10,120,2
Mutton Roll,Mutton wrapped in paratha,Street Food,1 roll (200g),400,40,20,18,4,700,50,10,150,2
Fish Roll,Fish wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Prawn Roll,Prawn wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Aloo Chaat,Spiced potato cubes,Street Food,1 bowl (150g),200,30,5,8,4,600,40,15,100,1.8
Papdi Chaat,Crispy papdi with chutneys,Street Food,1 plate (150g),250,35,5,10,4,600,30,15,100,1.5
Raj Kachori,Large kachori with fillings,Street Food,1 kachori (150g),300,40,6,12,4,600,30,10,120,1.8
Samosa Chaat,Samosa with chutneys and yogurt,Street Food,1 samosa + toppings (150g),300,35,6,12,4,600,30,10,120,1.8
Tikki Chaat,Potato patties with chutneys,Street Food,2 tikkis + toppings (150g),300,35,6,12,4,600,40,10,120,1.8
Chole Kulche,Chickpea curry with kulcha,Street Food,200g curry + 1 kulcha (100g),400,55,12,12,6,700,50,15,150,2
Misal Pav,Spiced sprouted curry with bread,Street Food,1 bowl (200g) + 2 pavs,350,50,10,12,6,700,40,15,120,2
Pav Bhaji,Spiced vegetable mash with bread,Street Food,2 pavs + 200g bhaji,400,55,8,18,6,900,80,20,180,2.5
Dabeli,Spiced potato filling in bun,Street Food,1 dabeli (150g),300,40,6,12,4,600,30,10,120,1.8
Vada Pav,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Pani Puri,Crispy puris with spiced water,Street Food,6 puris (150g total),200,30,4,8,3,600,20,15,100,1.5
Sev Puri,Puris with potatoes and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Dahi Puri,Puris with yogurt and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Ragda Pattice,Potato patties with pea curry,Street Food,2 patties + 150g curry,300,40,8,12,5,700,40,15,120,2
Bhel Puri,Puffed rice with chutneys,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Jhalmuri,Spiced puffed rice,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Pav Vada,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Kathi Roll,Spiced filling in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Chicken Roll,Chicken wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Paneer Roll,Paneer wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Egg Roll,Egg wrapped in paratha,Street Food,1 roll (200g),350,40,12,15,4,700,50,10,120,2
Mutton Roll,Mutton wrapped in paratha,Street Food,1 roll (200g),400,40,20,18,4,700,50,10,150,2
Fish Roll,Fish wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Prawn Roll,Prawn wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Aloo Chaat,Spiced potato cubes,Street Food,1 bowl (150g),200,30,5,8,4,600,40,15,100,1.8
Papdi Chaat,Crispy papdi with chutneys,Street Food,1 plate (150g),250,35,5,10,4,600,30,15,100,1.5
Raj Kachori,Large kachori with fillings,Street Food,1 kachori (150g),300,40,6,12,4,600,30,10,120,1.8
Samosa Chaat,Samosa with chutneys and yogurt,Street Food,1 samosa + toppings (150g),300,35,6,12,4,600,30,10,120,1.8
Tikki Chaat,Potato patties with chutneys,Street Food,2 tikkis + toppings (150g),300,35,6,12,4,600,40,10,120,1.8
Chole Kulche,Chickpea curry with kulcha,Street Food,200g curry + 1 kulcha (100g),400,55,12,12,6,700,50,15,150,2
Misal Pav,Spiced sprouted curry with bread,Street Food,1 bowl (200g) + 2 pavs,350,50,10,12,6,700,40,15,120,2
Pav Bhaji,Spiced vegetable mash with bread,Street Food,2 pavs + 200g bhaji,400,55,8,18,6,900,80,20,180,2.5
Dabeli,Spiced potato filling in bun,Street Food,1 dabeli (150g),300,40,6,12,4,600,30,10,120,1.8
Vada Pav,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Pani Puri,Crispy puris with spiced water,Street Food,6 puris (150g total),200,30,4,8,3,600,20,15,100,1.5
Sev Puri,Puris with potatoes and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Dahi Puri,Puris with yogurt and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Ragda Pattice,Potato patties with pea curry,Street Food,2 patties + 150g curry,300,40,8,12,5,700,40,15,120,2
Bhel Puri,Puffed rice with chutneys,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Jhalmuri,Spiced puffed rice,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Pav Vada,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Kathi Roll,Spiced filling in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Chicken Roll,Chicken wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Paneer Roll,Paneer wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Egg Roll,Egg wrapped in paratha,Street Food,1 roll (200g),350,40,12,15,4,700,50,10,120,2
Mutton Roll,Mutton wrapped in paratha,Street Food,1 roll (200g),400,40,20,18,4,700,50,10,150,2
Fish Roll,Fish wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Prawn Roll,Prawn wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Aloo Chaat,Spiced potato cubes,Street Food,1 bowl (150g),200,30,5,8,4,600,40,15,100,1.8
Papdi Chaat,Crispy papdi with chutneys,Street Food,1 plate (150g),250,35,5,10,4,600,30,15,100,1.5
Raj Kachori,Large kachori with fillings,Street Food,1 kachori (150g),300,40,6,12,4,600,30,10,120,1.8
Samosa Chaat,Samosa with chutneys and yogurt,Street Food,1 samosa + toppings (150g),300,35,6,12,4,600,30,10,120,1.8
Tikki Chaat,Potato patties with chutneys,Street Food,2 tikkis + toppings (150g),300,35,6,12,4,600,40,10,120,1.8
Chole Kulche,Chickpea curry with kulcha,Street Food,200g curry + 1 kulcha (100g),400,55,12,12,6,700,50,15,150,2
Misal Pav,Spiced sprouted curry with bread,Street Food,1 bowl (200g) + 2 pavs,350,50,10,12,6,700,40,15,120,2
Pav Bhaji,Spiced vegetable mash with bread,Street Food,2 pavs + 200g bhaji,400,55,8,18,6,900,80,20,180,2.5
Dabeli,Spiced potato filling in bun,Street Food,1 dabeli (150g),300,40,6,12,4,600,30,10,120,1.8
Vada Pav,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Pani Puri,Crispy puris with spiced water,Street Food,6 puris (150g total),200,30,4,8,3,600,20,15,100,1.5
Sev Puri,Puris with potatoes and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Dahi Puri,Puris with yogurt and chutneys,Street Food,6 puris (150g),250,35,5,10,4,600,30,15,100,1.5
Ragda Pattice,Potato patties with pea curry,Street Food,2 patties + 150g curry,300,40,8,12,5,700,40,15,120,2
Bhel Puri,Puffed rice with chutneys,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Jhalmuri,Spiced puffed rice,Street Food,1 bowl (150g),200,35,5,6,5,500,30,20,120,2
Pav Vada,Potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Kathi Roll,Spiced filling in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Chicken Roll,Chicken wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Paneer Roll,Paneer wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,150,2
Egg Roll,Egg wrapped in paratha,Street Food,1 roll (200g),350,40,12,15,4,700,50,10,120,2
Mutton Roll,Mutton wrapped in paratha,Street Food,1 roll (200g),400,40,20,18,4,700,50,10,150,2
Fish Roll,Fish wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Prawn Roll,Prawn wrapped in paratha,Street Food,1 roll (200g),350,40,15,15,4,700,50,10,120,2
Aloo Chaat,Spiced potato cubes,Street Food,1 bowl (150g),200,30,5,8,4,600,40,15,100,1.8
Papdi Chaat,Crispy papdi with chutneys,Street Food,1 plate (150g),250,35,5,10,4,600,30,15,100,1.5
Raj Kachori,Large kachori with fillings,Street Food,1 kachori (150g),300,40,6,12,4,600,30,10,120,1.8
Samosa Chaat,Samosa with chutneys and yogurt,Street Food,1 samosa + toppings (150g),300,35,6,12,4,600,30,10,120,1.8
Tikki Chaat,Potato patties with chutneys,Street Food,2 tikkis + toppings (150g),300,35,6,12,4,600,40,10,120,1.8
Chole Kulche,Chickpea curry with kulcha,Street Food,200g curry + 1 kulcha (100g),400,55,12,12,6,700,50,15,150,2
Misal Pav,Spiced sprouted curry with bread,Street Food,1 bowl (200g) + 2 pavs,350,50,10,12,6,700,40,15,120,2
Pav Bhaji,Spiced vegetable mash with bread,Street Food,2 pavs + 200g bhaji,400,55,8,18,6,900,80,20,180,2.5
Dabeli,Spiced potato filling in bun,Street Food,1 dabeli (150g),300,40,6,12,4,600,30,10,120,1.8
